Twitter_User_Name,Following,Followers,Verified,Link,Location,Real_Location
#winelover bot,2,594,0,https://twitter.com/winelover_bot?s=20,#Winesphere,0
Aaron Chewning,1404,41400,0,https://twitter.com/AaronChewning?s=20,Atlanta,1
Accidental Haiku,1,3653,0,https://twitter.com/accidental575?s=20,,
Ace Attorney Bot,5,4700,0,https://twitter.com/aceattorneybot?s=20,Defendant Lobby No. 2,0
Alex Holley,518,101000,0,https://twitter.com/AlexHolleyFOX29?s=20,Philadelphia,1
Allsorts Bot,0,52,0,https://twitter.com/AllsortsBot?s=20,,
Andrew McMahon,95,64300,0,https://twitter.com/andrewmcmahon?s=20,Southern CA,1
Andrew McMahon Bot,1465,1205,0,https://twitter.com/AndyMcMahonBot?s=20,California,1
Andy Richter,1678,1000000,1,https://twitter.com/AndyRichter?s=20,,
Art Critic Bot,75,241,0,https://twitter.com/art_critic_bot?s=20,,
Asad Umar,13,9400000,1,https://twitter.com/Asad_Umar?s=20,Islamabad,1
Asher Wolf,55000,75700,0,https://twitter.com/Asher_Wolf,Pangerang Land,1
Auto Charts,0,2758,0,https://twitter.com/AutoCharts?s=20,,
Awl Tags,1,572,0,https://twitter.com/AwlTags?s=20,,
Beckett Bot,0,79,0,https://twitter.com/beckettbot?s=20,,
Big Ben,0,390000,0,https://twitter.com/big_ben_clock?s=20,Up a tower,0
Brian,0,1902,0,https://twitter.com/SmallBusBoss?s=20,Derbyshire,1
Brrnrrd,-1,-1,-1,,,
Camptown Ladies,0,75,0,https://twitter.com/camptownladies?s=20,Camptown,1
CryptoMarket News,-1,-1,-1,,,
DJ SCREAM,1410,381400,0,https://twitter.com/DJSCREAM?s=20,Atlanta,1
Danny Gonzalez,358,95110,0,https://twitter.com/dannygonzalez?s=20,,
Darius Kazemi,3,0,0,https://twitter.com/tinysubversions,Scotland,1
Dear Assistant,4,4394,0,https://twitter.com/DearAssistant?s=20,,
Deep Question Bot,0,1275,0,https://twitter.com/deepquestionbot?s=20,,
Drew Gooden,769,835100,0,https://twitter.com/drewisgooden?s=20,Internet,
Eddie Izzard,594,4200000,1,https://twitter.com/eddieizzard?s=20,Earth,1
Every Sheriff Bot,0,49800,0,https://twitter.com/EverySheriff?s=20,England,1
Fake Bloomberg News,4,608,0,https://twitter.com/BloombrgNewsish?s=20,,
Garry12gg,2666,892,0,https://twitter.com/garry12gg?s=20,Texas,1
God Bot,8,3,0,https://twitter.com/thegodbot?s=20,,
Guy Fieri,466,3500000,1,https://twitter.com/GuyFieri?s=20,USA,1
Hacker News Bot,0,23700,0,https://twitter.com/hackernewsbot?s=20,Internetz,0
"Hey, it's Opus!",1306,15000,0,https://twitter.com/heyitsopus?s=20,Brooklyn,1
Horse ebooks,12500,132600,0,https://twitter.com/Horse_ebooks?s=20,,
Hurricane Sandy Help,0,149,0,https://twitter.com/SandyAid?s=20,Eastern Seaboard,1
Imran Khan,0,19700000,1,https://twitter.com/ImranKhanPTI?s=20,Pakistan,1
It's Spelt Caesar,2,8,0,https://twitter.com/itsspeltcaesar?s=20,,
Jaden Trump Ebooks,2,49,0,https://twitter.com/jadntrumpebooks?s=20,Internet,0
James Wong,3882,179800,0,https://twitter.com/Botanygeek?s=20,,
Jemima Goldsmith,1290,3800000,1,https://twitter.com/Jemima_Khan?s=20,London,1
Jen Spyra,1154,24700,0,https://twitter.com/jenspyra?s=20,New York,1
JenanFh,954,602,0,https://twitter.com/Jenan_FH?s=20,Syria,1
Jenna Bilotta,428,11800,0,https://twitter.com/jenna?s=20,New York,1
Jessica Banov,3053,3446,0,https://twitter.com/jessicabanov?s=20,North Carolina,1
Jesus Cristo,3,1086,0,https://twitter.com/itsJesusCristo?s=20,Ceu do Twitter,0
John Perry Barlow,1568,47000,0,https://twitter.com/JPBarlow?s=20,,
Justin Cohen,1974,5674,0,https://twitter.com/CohenJust?s=20,,
Kate White,1242,12600,0,https://twitter.com/katemwhite?s=20,New York,1
Keith Lemon,3227,3300000,1,https://twitter.com/lemontwittor?s=20,At Home making a gremlin,0
Khloï¿,235,30200000,1,https://twitter.com/khloekardashian?s=20,,
Kris Anderson,20500,30100,0,https://twitter.com/KrisAndersonTV?s=20,Florida,1
Kris Jenner,288,12600000,1,https://twitter.com/KrisJenner?s=20,Cloud Nine,0
LOUDBOT,2,580,0,https://twitter.com/LOUDBOT?s=20,I'm from the internet,0
Malala,692,2000000,1,https://twitter.com/Malala?s=20,,
Marcus L Endicott,62,1178,0,https://twitter.com/mendicot?s=20,New South Wales,1
Mark's Fake Facts,0,32,0,https://twitter.com/MarksFakeFacts?s=20,,
Matthew Francis,445,875,0,https://twitter.com/mfrancispoet?s=20,Aberystwyth,1
Meme Bot,8,227300,0,https://twitter.com/theMemesBot?s=20,,
Michel Boyer,3596,12400,0,https://twitter.com/BoyerMichel?s=20,Ottawa,1
Mishal Awan,-1,-1,-1,,,
Museum Bot,0,7816,0,https://twitter.com/MuseumBot?s=20,,
My Favorite Things,-1,-1,-1,,,
NES Art Bot,3,3586,0,https://twitter.com/NintendoArtBot?s=20,,
Netflix Bot,1,5398,0,https://twitter.com/netflix_bot?s=20,Silicon Valey,1
Netflix US,2270,22000000,1,https://twitter.com/netflix?s=20,USA,1
Newfound Planets,183,9998,0,https://twitter.com/I_Find_Planets?s=20,Out there in the Cosmos,0
Nic Cage Bot,1,2266,0,https://twitter.com/NicCagePlotBot?s=20,,
Omer Mohammad,-1,-1,-1,,,
Pentametron,2,22500,0,https://twitter.com/pentametron,,
Predictive Art Bot ï¿½ï,233,1320,0,https://twitter.com/predartbot?s=20,,
Procrastibot,0,147,0,https://twitter.com/Procrastibot?s=20,Everywhere,0
Quilt Bot,2,2828,0,https://twitter.com/a_quilt_bot?s=20,Swatchspace,0
Raag(bot),1240,3292,0,https://twitter.com/Harshavatrx?s=20,California,1
